"","CTname","X.1","PostCode","ID..","X","CDuid","SAC","FED96uid","FSA","DAuid","Block","Lat","Long","SLI","PR","CSD","CSDname","CSDtype","CCS","SACtype","ER","DPL","UARA","UARAtype","Rep_Point","PCtype","Comm_Name","DMT","H_DMT","Birth_Date","Ref_Date","FED96name","SACname","CDname","ï..CENSUS_YEAR","GEO_CODE..POR.","GEO_LEVEL","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","DIM..Household.type.including.census.family.structure..11.","a","Notes..Household.type.including.census.family.structure..11.","Dim..Household.income.statistics..3...Member.ID...1...Total...Household.income.statistics..Note..3.","Dim..Household.income.statistics..3...Member.ID...2...Median.total.income.of.households....","Dim..Household.income.statistics..3...Member.ID...3...Median.after.tax.income.of.households...."
"17",160.03,992,"V4M2Y8",285,52069,5915,933,59003,"V4M",59152735,2,49.0156,-123.079732,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
"18",160.03,981,"V4M1M8",279,59362,5915,933,59003,"V4M",59152736,2,49.015194,-123.088901,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19930901,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
"19",160.03,985,"V4M1Z7",281,137488,5915,933,59003,"V4M",59152765,1,49.02403,-123.082662,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
"20",160.03,995,"V4M4E4",287,73537,5915,933,59003,"V4M",59152765,3,49.023863,-123.073036,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19920601,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
"21",160.04,996,"V4M4E7",288,48035,5915,933,59003,"V4M",59152753,1,49.028398,-123.069636,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","B","B",19931101,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.04,2,3.4,0,933016004,"Census family households",2,NA,"1155","103083","88883"
"22",161.02,966,"V4K1T5",268,47290,5915,933,59003,"V4K",59152718,10,49.088984,-123.085512,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.02,2,3.4,0,933016102,"Census family households",2,NA,"1550","108288","91904"
"23",161.02,962,"V4K1E7",266,47514,5915,933,59003,"V4K",59152717,2,49.082956,-123.079541,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.02,2,3.4,0,933016102,"Census family households",2,NA,"1550","108288","91904"
"24",161.02,964,"V4K1H9",267,49981,5915,933,59003,"V4K",59152719,3,49.084304,-123.088316,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.02,2,3.4,0,933016102,"Census family households",2,NA,"1550","108288","91904"
"25",161.02,963,"V4K1H9",267,50099,5915,933,59003,"V4K",59152719,3,49.08429,-123.087404,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.02,2,3.4,0,933016102,"Census family households",2,NA,"1550","108288","91904"
"26",161.02,967,"V4K1T5",268,47289,5915,933,59003,"V4K",59152718,10,49.088998,-123.086342,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.02,2,3.4,0,933016102,"Census family households",2,NA,"1550","108288","91904"
"27",161.03,965,"V4K1T5",268,47288,5915,933,59003,"V4K",59152712,3,49.088375,-123.070695,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.03,2,2.7,0,933016103,"Census family households",2,NA,"1860","112435","95707"
"28",161.05,968,"V4K1Z3",275,137388,5915,933,59003,"V4K",59152776,3,49.092119,-123.055459,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"29",161.05,975,"V4K4S5",273,43109,5915,933,59003,"V4K",59152775,3,49.091874,-123.050332,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19890901,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"30",161.05,970,"V4K2H2",269,47791,5915,933,59003,"V4K",59152705,1,49.096857,-123.072934,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"31",161.05,971,"V4K3J9",270,46943,5915,933,59003,"V4K",59152701,1,49.093712,-123.058164,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"32",161.05,974,"V4K4S5",273,43504,5915,933,59003,"V4K",59152775,3,49.091694,-123.050337,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19890901,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"33",161.05,969,"V4K2H2",269,47792,5915,933,59003,"V4K",59152705,1,49.095898,-123.074207,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"34",161.06,973,"V4K4J9",272,59043,5915,933,59003,"V4K",59152707,11,49.096585,-123.078333,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19850301,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.06,2,2.5,0,933016106,"Census family households",2,NA,"1355","118816","100192"
"35",161.06,972,"V4K4J9",272,48839,5915,933,59003,"V4K",59152707,11,49.095645,-123.076349,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19850301,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330161.06,2,2.5,0,933016106,"Census family households",2,NA,"1355","118816","100192"
"36",162.01,952,"V4E1Z9",258,74527,5915,933,59003,"V4E",59152083,2,49.130205,-122.893876,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"37",162.01,951,"V4E1Z9",259,46825,5915,933,59003,"V4E",59152083,2,49.132402,-122.893837,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"38",162.01,953,"V4E1Z9",258,46825,5915,933,59003,"V4E",59152083,2,49.132402,-122.893837,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"39",162.01,961,"V4E3G5",264,47143,5915,933,59003,"V4E",59152083,3,49.130205,-122.893601,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830501,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"40",162.01,954,"V4E2A9",260,49392,5915,933,59003,"V4E",59152083,1,49.132274,-122.89056,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"41",162.01,955,"V4E2N5",261,137722,5915,933,59003,"V4E",59152263,1,49.129852,-122.918327,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"42",162.01,956,"V4E2N5",261,58262,5915,933,59003,"V4E",59152263,1,49.129981,-122.918518,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"43",162.01,950,"V4E1Z9",259,74527,5915,933,59003,"V4E",59152083,2,49.130205,-122.893876,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"44",162.01,957,"V4E2T3",262,43728,5915,933,59003,"V4E",59152085,1,49.126329,-122.894471,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"45",162.01,959,"V4E2W5",265,44117,5915,933,59003,"V4E",59152262,2,49.13375,-122.91776,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"46",162.01,958,"V4E2W5",265,53593,5915,933,59003,"V4E",59152262,2,49.133668,-122.917516,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"47",162.02,923,"V4C1N2",235,43860,5915,933,59003,"V4C",59152130,3,49.144823,-122.922034,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.02,2,2.7,0,933016202,"Census family households",2,NA,"1755","112589","96000"
"48",162.02,937,"V4C4Y2",246,56703,5915,933,59003,"V4C",59152124,1,49.135985,-122.911289,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.02,2,2.7,0,933016202,"Census family households",2,NA,"1755","112589","96000"
"49",162.02,924,"V4C1N2",235,54066,5915,933,59003,"V4C",59152130,3,49.144787,-122.91682,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.02,2,2.7,0,933016202,"Census family households",2,NA,"1755","112589","96000"
"50",162.02,920,"V4C1C5",233,44871,5915,933,59003,"V4C",59152125,3,49.136587,-122.906451,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.02,2,2.7,0,933016202,"Census family households",2,NA,"1755","112589","96000"
"51",162.02,936,"V4C4Y2",246,56702,5915,933,59003,"V4C",59152124,1,49.137383,-122.911143,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.02,2,2.7,0,933016202,"Census family households",2,NA,"1755","112589","96000"
"52",162.03,939,"V4C5M8",247,137752,5915,933,59003,"V4C",59152122,1,49.141416,-122.90434,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.03,2,3.4,0,933016203,"Census family households",2,NA,"1795","89376","79332"
"53",162.03,942,"V4C5P9",249,74350,5915,933,59003,"V4C",59152089,1,49.139844,-122.903027,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.03,2,3.4,0,933016203,"Census family households",2,NA,"1795","89376","79332"
"54",162.03,922,"V4C1L2",234,43962,5915,933,59003,"V4C",59152117,3,49.141236,-122.892978,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330162.03,2,3.4,0,933016203,"Census family households",2,NA,"1795","89376","79332"
