"","CTname","X","Freq","HRNAME","Population..2001..100..data.","incidence","Median.family.income.."
"83",9330188.05,83,1,"Fraser South                                                ",2254,0.000443655723158829,67588
"84",9330188.06,84,0,"Fraser South                                                ",942,0,66794
"85",9330189.03,85,1,"Fraser South                                                ",3248,0.000307881773399015,58322
"86",9330189.05,86,4,"Fraser South                                                ",6982,0.000572901747350329,49125
"87",9330189.06,87,5,"Fraser South                                                ",2913,0.0017164435290079,51046
"88",9330189.07,88,3,"Fraser South                                                ",2353,0.00127496812579686,48097
"89",9330189.08,89,3,"Fraser South                                                ",6119,0.000490276188919758,30696
"90",9330189.09,90,1,"Fraser South                                                ",4048,0.00024703557312253,65876
"91",9330189.1,91,2,"Fraser South                                                ",4833,0.000413821642871922,56469
"92",9330190.01,92,5,"Fraser South                                                ",5505,0.000908265213442325,41869
"93",9330190.03,93,6,"Fraser South                                                ",4694,0.00127822752449936,40117
"94",9330190.04,94,2,"Fraser South                                                ",5894,0.000339328130302002,53782
"95",9330190.05,95,1,"Fraser South                                                ",1682,0.000594530321046373,34401
"96",9330191.02,96,2,"Fraser South                                                ",7477,0.000267486960010699,38800
"97",9330191.03,97,5,"Fraser South                                                ",4484,0.00111507582515611,43998
"98",9330191.04,98,3,"Fraser South                                                ",4603,0.000651748859439496,48125
"99",9330192,99,1,"Fraser South                                                ",4096,0.000244140625,46054
"100",9330251,100,0,"Fraser South                                                ",155,0,0
"101",9330500,101,4,"Fraser South                                                ",6290,0.000635930047694754,56515
"102",9330501.01,102,1,"Fraser South                                                ",2980,0.000335570469798658,60388
"103",9330501.02,103,1,"Fraser South                                                ",5425,0.000184331797235023,72364
"104",9330501.03,104,0,"Fraser South                                                ",3228,0,64142
"105",9330502.01,105,1,"Fraser South                                                ",2496,0.000400641025641026,70570
"106",9330502.02,106,4,"Fraser South                                                ",3984,0.00100401606425703,56462
"107",9330502.03,107,3,"Fraser South                                                ",5203,0.000576590428598885,72717
"108",9330502.04,108,3,"Fraser South                                                ",8455,0.000354819633353046,70432
"109",9330502.05,109,3,"Fraser South                                                ",2495,0.00120240480961924,66719
"110",9330503.01,110,1,"Fraser South                                                ",2589,0.000386249517188104,76071
"111",9330503.03,111,4,"Fraser South                                                ",7198,0.000555709919422062,68964
"112",9330503.04,112,4,"Fraser South                                                ",5330,0.00075046904315197,45266
"113",9330503.05,113,4,"Fraser South                                                ",8526,0.000469153178512784,41242
"114",9330504.01,114,5,"Fraser South                                                ",7567,0.000660763843002511,62134
"115",9330504.02,115,2,"Fraser South                                                ",8052,0.000248385494287134,74388
"116",9330504.03,116,2,"Fraser South                                                ",6501,0.000307644977695739,72353
"117",9330504.04,117,2,"Fraser South                                                ",7524,0.00026581605528974,72271
"118",9330505,118,2,"Fraser South                                                ",6530,0.000306278713629403,70357
"119",9330506.01,119,2,"Fraser South                                                ",3759,0.000532056397978186,50487
"120",9330506.02,120,3,"Fraser South                                                ",6914,0.000433902227364767,56102
