"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"9330110.04","9330110.04","British Columbia",F,4236,4561,F,-7.1,1479,1444,1.51,2811.6,
"9330111.02","9330111.02","British Columbia",F,7567,7450,F,1.6,2796,2750,32.06,236.0,
"9330111.04","9330111.04","British Columbia",F,1855,1472,T,26.0,932,920,1.06,1756.0,
"9330111.05","9330111.05","British Columbia",F,5005,4460,T,12.2,1755,1721,3.34,1496.4,
"9330111.06","9330111.06","British Columbia",F,123,107,T,15.0,40,37,0.49,250.8,
"9330111.07","9330111.07","British Columbia",F,4285,4001,T,7.1,1849,1678,23.85,179.6,
"9330112.00","9330112.00","British Columbia",F,2765,2733,F,1.2,1160,1098,1.06,2614.4,
"9330113.00","9330113.00","British Columbia",F,7734,7570,F,2.2,3050,2975,2.92,2648.7,
"9330114.01","9330114.01","British Columbia",F,2920,2955,F,-1.2,981,959,1.66,1754.7,
"9330114.02","9330114.02","British Columbia",F,5315,5155,F,3.1,1879,1789,2.01,2650.2,
"9330115.00","9330115.00","British Columbia",F,5836,5714,F,2.1,2044,1992,4.68,1246.3,
"9330116.00","9330116.00","British Columbia",F,5238,5277,F,-0.7,1933,1797,16.11,325.2,
"9330117.00","9330117.00","British Columbia",F,6001,5996,F,0.1,2310,2142,2.38,2518.6,
"9330118.00","9330118.00","British Columbia",F,8073,7436,F,8.6,3650,3493,3.52,2292.4,
"9330119.00","9330119.00","British Columbia",F,2280,2261,F,0.8,881,824,1.31,1738.5,
"9330120.00","9330120.00","British Columbia",F,3813,3926,F,-2.9,1403,1358,2.28,1671.5,
"9330121.00","9330121.00","British Columbia",F,4489,4543,F,-1.2,1551,1440,1.85,2422.4,
"9330122.00","9330122.00","British Columbia",F,4183,4223,F,-0.9,1440,1358,19.21,217.7,
"9330130.01","9330130.01","British Columbia",F,4634,4388,F,5.6,2865,2639,0.88,5262.9,
"9330130.03","9330130.03","British Columbia",F,4797,4552,F,5.4,2666,2449,1.47,3253.5,
"9330130.04","9330130.04","British Columbia",F,2931,2700,F,8.6,1433,1309,1.72,1706.7,
"9330131.00","9330131.00","British Columbia",F,7050,7174,F,-1.7,2778,2579,3.36,2097.6,
"9330132.00","9330132.00","British Columbia",F,3655,3732,F,-2.1,1378,1259,3.30,1107.4,
"9330133.01","9330133.01","British Columbia",F,3675,3642,F,0.9,1518,1430,3.93,935.5,
"9330133.02","9330133.02","British Columbia",F,6216,6333,F,-1.8,2368,2245,36.77,169.0,
"9330134.00","9330134.00","British Columbia",F,7534,7634,F,-1.3,3178,2692,15.19,496.0,
"9330135.00","9330135.00","British Columbia",F,4912,5239,F,-6.2,1898,1640,22.35,219.8,
"9330140.02","9330140.02","British Columbia",F,7380,7305,F,1.0,3079,3011,15.68,470.7,
"9330140.03","9330140.03","British Columbia",F,4423,4366,F,1.3,1635,1522,42.34,104.5,
"9330140.04","9330140.04","British Columbia",F,5189,5094,F,1.9,1633,1610,2.51,2069.2,
"9330141.01","9330141.01","British Columbia",F,8528,8321,F,2.5,3361,3294,2.20,3883.8,
"9330141.02","9330141.02","British Columbia",F,785,788,F,-0.4,412,397,0.08,9503.6,
"9330142.01","9330142.01","British Columbia",F,6038,6284,F,-3.9,2104,2050,1.47,4108.6,
"9330142.02","9330142.02","British Columbia",F,5120,5194,F,-1.4,1860,1799,1.46,3496.3,
"9330142.03","9330142.03","British Columbia",F,6101,6317,F,-3.4,2419,2296,1.53,3985.0,
"9330143.01","9330143.01","British Columbia",F,5098,5536,F,-7.9,1683,1650,1.33,3829.9,
"9330143.02","9330143.02","British Columbia",F,4685,4707,F,-0.5,1683,1613,1.30,3595.3,
"9330143.03","9330143.03","British Columbia",F,4787,4774,F,0.3,1722,1644,1.34,3572.9,
"9330143.04","9330143.04","British Columbia",F,5664,5673,F,-0.2,1842,1801,1.32,4288.0,
"9330144.03","9330144.03","British Columbia",F,2512,2519,F,-0.3,826,792,0.68,3672.0,
"9330144.04","9330144.04","British Columbia",F,5683,5712,F,-0.5,2114,2038,1.34,4252.5,
"9330144.05","9330144.05","British Columbia",F,2813,2599,F,8.2,970,929,0.69,4077.4,
"9330144.06","9330144.06","British Columbia",F,5443,5374,F,1.3,1834,1750,1.33,4088.8,
"9330145.01","9330145.01","British Columbia",F,4410,4438,F,-0.6,1510,1434,1.34,3300.9,
"9330145.02","9330145.02","British Columbia",F,3228,3283,F,-1.7,1036,1020,1.37,2348.8,
"9330146.00","9330146.00","British Columbia",F,7086,6748,F,5.0,2523,2363,4.80,1476.7,
"9330147.01","9330147.01","British Columbia",F,10895,9674,F,12.6,4331,4096,2.67,4087.1,
"9330147.04","9330147.04","British Columbia",F,5368,5408,F,-0.7,2459,2419,0.33,16227.3,
"9330147.05","9330147.05","British Columbia",F,4553,4466,F,1.9,1910,1826,0.33,13817.9,
"9330147.07","9330147.07","British Columbia",F,5712,5771,F,-1.0,3015,2766,0.45,12603.7,
"9330147.08","9330147.08","British Columbia",F,8017,6861,F,16.8,3691,3534,0.61,13233.7,
"9330147.09","9330147.09","British Columbia",F,3941,3772,F,4.5,1636,1608,0.24,16414.0,
"9330147.10","9330147.10","British Columbia",F,4413,4354,F,1.4,1993,1940,0.41,10667.2,
"9330148.00","9330148.00","British Columbia",F,11402,8304,F,37.3,6217,5332,2.80,4066.2,
"9330149.02","9330149.02","British Columbia",F,4725,4910,F,-3.8,1622,1550,1.53,3082.8,
"9330149.05","9330149.05","British Columbia",F,2182,2296,F,-5.0,720,671,0.65,3369.4,
"9330149.06","9330149.06","British Columbia",F,4943,5140,F,-3.8,1807,1736,1.67,2956.2,
"9330149.07","9330149.07","British Columbia",F,2664,2919,F,-8.7,899,844,1.04,2564.3,
"9330149.08","9330149.08","British Columbia",F,4672,4644,F,0.6,1852,1812,1.03,4523.6,
"9330149.09","9330149.09","British Columbia",F,2983,3077,F,-3.1,1081,1031,0.66,4495.2,
"9330150.00","9330150.00","British Columbia",F,814,789,F,3.2,302,298,18.16,44.8,
"9330151.03","9330151.03","British Columbia",F,3022,2598,F,16.3,1024,975,3.08,980.5,
"9330151.05","9330151.05","British Columbia",F,3781,3915,F,-3.4,1254,1154,1.30,2912.0,
"9330151.06","9330151.06","British Columbia",F,5239,5362,F,-2.3,1574,1511,1.91,2742.9,
"9330151.07","9330151.07","British Columbia",F,3566,3325,F,7.2,1845,1539,2.97,1200.9,
"9330151.08","9330151.08","British Columbia",F,10444,7856,F,32.9,4000,3802,3.30,3164.1,
"9330160.01","9330160.01","British Columbia",F,4606,4805,F,-4.1,1731,1659,2.17,2118.6,
"9330160.02","9330160.02","British Columbia",F,6990,7014,F,-0.3,3213,3123,6.54,1068.9,
"9330160.03","9330160.03","British Columbia",F,5784,5692,F,1.6,2146,2049,2.63,2199.7,
"9330160.04","9330160.04","British Columbia",F,4029,3670,F,9.8,1893,1810,2.33,1731.5,
"9330161.02","9330161.02","British Columbia",F,5655,5589,F,1.2,2428,2368,1.73,3272.0,
"9330161.03","9330161.03","British Columbia",F,6493,6500,F,-0.1,2503,2487,2.33,2783.8,
"9330161.05","9330161.05","British Columbia",F,5747,5753,F,-0.1,2120,2040,1.61,3566.5,
"9330161.06","9330161.06","British Columbia",F,4330,4362,F,-0.7,1779,1759,3.70,1168.9,
"9330161.07","9330161.07","British Columbia",F,10,5,T,100.0,4,4,0.53,18.8,
"9330161.08","9330161.08","British Columbia",F,816,720,T,13.3,368,323,6.58,124.1,
"9330161.09","9330161.09","British Columbia",F,2587,2538,T,1.9,852,798,136.76,18.9,
"9330162.01","9330162.01","British Columbia",F,5746,5852,F,-1.8,1926,1830,2.15,2666.9,
"9330162.02","9330162.02","British Columbia",F,6510,6372,F,2.2,2110,2000,2.08,3131.5,
"9330162.03","9330162.03","British Columbia",F,7683,7599,F,1.1,2644,2341,1.66,4635.6,
"9330162.04","9330162.04","British Columbia",F,5755,5892,F,-2.3,1903,1875,4.92,1169.0,
"9330163.01","9330163.01","British Columbia",F,5874,4787,F,22.7,1989,1872,1.70,3445.8,
"9330163.04","9330163.04","British Columbia",F,5668,5406,F,4.8,1932,1825,2.67,2121.1,
"9330163.05","9330163.05","British Columbia",F,5530,5263,F,5.1,1953,1812,1.64,3364.6,
"9330163.06","9330163.06","British Columbia",F,4329,4031,F,7.4,1455,1355,0.99,4394.0,
"9330163.07","9330163.07","British Columbia",F,4891,4716,F,3.7,1616,1490,1.32,3709.2,
"9330163.08","9330163.08","British Columbia",F,4031,4022,F,0.2,1397,1265,1.26,3203.0,
"9330170.03","9330170.03","British Columbia",F,3921,3851,F,1.8,2781,2589,0.49,8000.4,
"9330170.04","9330170.04","British Columbia",F,5457,5369,F,1.6,2570,2298,2.16,2524.4,
"9330170.05","9330170.05","British Columbia",F,2629,2418,F,8.7,1877,1807,0.32,8197.7,
"9330170.07","9330170.07","British Columbia",F,4122,4009,F,2.8,1662,1552,1.22,3380.6,
"9330170.08","9330170.08","British Columbia",F,3823,3692,F,3.5,1966,1759,0.93,4097.1,
"9330180.01","9330180.01","British Columbia",F,7633,6910,F,10.5,2833,2708,3.02,2529.0,
"9330180.03","9330180.03","British Columbia",F,8884,6398,T,38.9,3493,3127,44.66,198.9,
"9330180.04","9330180.04","British Columbia",F,9554,5609,T,70.3,4005,3679,3.04,3140.5,
"9330181.03","9330181.03","British Columbia",F,5221,5413,F,-3.5,2211,1991,6.27,832.5,
"9330181.05","9330181.05","British Columbia",F,7758,7466,F,3.9,3638,3490,2.46,3152.2,
"9330181.07","9330181.07","British Columbia",F,3582,3558,F,0.7,1342,1295,1.86,1929.2,
"9330181.08","9330181.08","British Columbia",F,2530,2562,F,-1.2,1003,927,1.22,2069.7,
"9330181.09","9330181.09","British Columbia",F,6187,6411,F,-3.5,2284,2228,3.90,1585.1,
"9330181.10","9330181.10","British Columbia",F,5241,5189,F,1.0,2238,2172,3.27,1603.1,
"9330181.11","9330181.11","British Columbia",F,2574,2639,F,-2.5,1442,1392,0.65,3964.9,
"9330181.12","9330181.12","British Columbia",F,2787,2884,F,-3.4,1009,953,3.44,810.5,
"9330181.13","9330181.13","British Columbia",F,3664,3274,F,11.9,1525,1488,1.87,1959.1,
"9330181.14","9330181.14","British Columbia",F,3749,3706,F,1.2,1629,1593,1.45,2587.8,
"9330181.15","9330181.15","British Columbia",F,120,108,T,11.1,64,58,1.33,90.3,
"9330181.16","9330181.16","British Columbia",F,5332,5014,T,6.3,2142,2097,2.28,2339.7,
"9330182.01","9330182.01","British Columbia",F,5196,4160,F,24.9,1763,1531,50.19,103.5,
"9330182.02","9330182.02","British Columbia",F,6949,5604,F,24.0,2098,2023,2.61,2659.4,
"9330182.03","9330182.03","British Columbia",F,3963,3798,F,4.3,1287,1184,8.09,489.8,
"9330182.04","9330182.04","British Columbia",F,1782,1731,F,2.9,558,540,2.26,790.1,
"9330182.05","9330182.05","British Columbia",F,7395,6539,F,13.1,2413,2307,18.96,390.0,
"9330182.06","9330182.06","British Columbia",F,1168,1180,F,-1.0,429,393,9.75,119.8,
"9330183.01","9330183.01","British Columbia",F,6341,6161,F,2.9,2139,2018,2.66,2380.7,
"9330183.03","9330183.03","British Columbia",F,6180,5922,F,4.4,2591,2494,2.87,2151.4,
"9330183.05","9330183.05","British Columbia",F,11293,9377,F,20.4,3673,3559,3.46,3265.3,
"9330183.06","9330183.06","British Columbia",F,2372,2356,F,0.7,1037,978,1.34,1768.7,
"9330183.07","9330183.07","British Columbia",F,6691,6474,F,3.4,2373,2275,2.55,2627.4,
"9330183.08","9330183.08","British Columbia",F,8253,5852,T,41.0,3419,3289,1.31,6318.8,
"9330183.09","9330183.09","British Columbia",F,12265,8182,T,49.9,4677,4373,5.89,2082.3,
"9330184.02","9330184.02","British Columbia",F,7951,7509,F,5.9,3079,2987,2.62,3030.3,
"9330184.06","9330184.06","British Columbia",F,10901,8965,F,21.6,3419,3030,2.64,4128.1,
"9330184.07","9330184.07","British Columbia",F,5501,5105,F,7.8,1994,1917,1.33,4121.5,
"9330184.08","9330184.08","British Columbia",F,5537,5005,F,10.6,1731,1567,1.28,4340.7,
"9330184.09","9330184.09","British Columbia",F,4736,4828,F,-1.9,1390,1305,1.32,3596.9,
"9330184.10","9330184.10","British Columbia",F,5190,5265,F,-1.4,1583,1464,1.33,3903.7,
"9330184.11","9330184.11","British Columbia",F,9574,9118,F,5.0,2824,2607,2.61,3670.2,
"9330184.12","9330184.12","British Columbia",F,8362,3601,F,132.2,2679,2443,1.97,4249.0,
"9330184.13","9330184.13","British Columbia",F,5668,4058,F,39.7,1776,1543,4.52,1254.5,
