"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"9330503.03","9330503.03","British Columbia",F,7071,7086,F,-0.2,2551,2461,3.61,1960.3,
"9330503.06","9330503.06","British Columbia",F,4402,4377,F,0.6,2364,2217,0.59,7499.1,
"9330503.07","9330503.07","British Columbia",F,4573,4501,F,1.6,2732,2675,0.85,5411.2,
"9330503.08","9330503.08","British Columbia",F,4674,3976,F,17.6,2500,2428,2.50,1868.6,
"9330503.09","9330503.09","British Columbia",F,2717,2665,F,2.0,1245,1219,1.58,1716.7,
"9330504.03","9330504.03","British Columbia",F,6300,6357,F,-0.9,2226,2148,13.72,459.1,
"9330504.05","9330504.05","British Columbia",F,7784,7654,F,1.7,2911,2832,3.83,2034.0,
"9330504.07","9330504.07","British Columbia",F,3165,3182,F,-0.5,1324,1318,0.84,3751.3,
"9330504.08","9330504.08","British Columbia",F,4171,4212,F,-1.0,1556,1546,1.23,3403.5,
"9330504.09","9330504.09","British Columbia",F,5378,4523,F,18.9,1668,1581,3.50,1535.5,
"9330504.10","9330504.10","British Columbia",F,4025,3968,F,1.4,1597,1574,1.13,3546.6,
"9330504.11","9330504.11","British Columbia",F,13080,4377,F,198.8,4977,4694,11.63,1124.7,
"9330504.12","9330504.12","British Columbia",F,5135,4417,F,16.3,1614,1555,3.98,1291.6,
"9330504.13","9330504.13","British Columbia",F,3949,3381,F,16.8,1602,1572,1.67,2365.7,
"9330504.14","9330504.14","British Columbia",F,40,0,T,,15,15,0.31,130.2,
"9330504.15","9330504.15","British Columbia",F,1871,1866,T,0.3,746,724,4.03,464.8,
"9330505.01","9330505.01","British Columbia",F,3442,3241,F,6.2,1354,1279,5.22,659.8,
"9330505.03","9330505.03","British Columbia",F,94,68,T,38.2,32,32,1.78,52.7,
"9330505.04","9330505.04","British Columbia",F,5988,5715,T,4.8,2007,1893,59.57,100.5,
"9330506.01","9330506.01","British Columbia",F,4094,4036,F,1.4,1538,1484,3.07,1333.4,
"9330506.02","9330506.02","British Columbia",F,7269,7405,F,-1.8,2832,2664,6.24,1165.7,

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2016","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"2011 adjusted population flag","T = adjusted figure due to boundary change."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm."

"Source: Statistics Canada, 2016 Census of Population."
"How to cite: Statistics Canada. 2017. Population and dwelling counts, for census metropolitan areas, tracted census agglomerations and census tracts, 2016 and 2011 censuses (table). Population and Dwelling Count Highlight Tables. 2016 Census."
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017."
"http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/Tables/File.cfm?T=1601&SR=1&RPP=9999&PR=0&CMA=933&CSD=0&S=94&O=A&Lang=Eng&OFT=CSV (accessed November 02, 2020)"

