CTname,TotDwell
0130.01 (933013001)  00000,2730
0130.02 (933013002)  00011,3515
0131.00 (933013100)  00000,2500
0132.00 (933013200)  00000,1320
0133.01 (933013301)  00001,1400
0133.02 (933013302)  00001,1940
0134.00 (933013400)  00000,2370
0135.00 (933013500)  00000,1765
0140.02 (933014002)  00000,2065
0140.03 (933014003)  00001,1360
0140.04 (933014004)  00001,1285
0141.00 (933014100)  00000,3080
0142.01 (933014201)  00000,2010
0142.02 (933014202)  00000,1665
0142.03 (933014203)  00000,2230
0143.01 (933014301)  00000,1605
0143.02 (933014302)  00000,1540
0143.03 (933014303)  00000,1560
0143.04 (933014304)  00000,1675
0144.03 (933014403)  00001,680
0144.04 (933014404)  00001,2015
0144.05 (933014405)  00001,760
0144.06 (933014406)  00001,1600
0145.00 (933014500)  00000,2310
0146.00 (933014600)  00000,2005
0147.01 (933014701)  00010,715
0147.02 (933014702)  00000,4280
0147.04 (933014704)  00001,2110
0147.05 (933014705)  00001,1355
0147.06 (933014706)  00001,3420
0148.00 (933014800)  00000,2405
0149.02 (933014902)  00000,1525
0149.03 (933014903)  00000,2330
0149.04 (933014904)  00001,2680
0149.05 (933014905)  00001,610
0150.00 (933015000)  00000,290
0151.01 (933015101)  00000,2445
0151.03 (933015103)  00001,665
0151.04 (933015104)  00001,2495
0160.01 (933016001)  00001,1595
0160.02 (933016002)  00001,2945
0160.03 (933016003)  00000,2140
0160.04 (933016004)  00001,1525
0161.01 (933016101)  00001,1435
0161.02 (933016102)  00000,2155
0161.03 (933016103)  00001,2305
0161.05 (933016105)  00001,1850
0161.06 (933016106)  00001,1015
0162.01 (933016201)  00000,1755
0162.02 (933016202)  00000,1900
0162.03 (933016203)  00000,2055
0162.04 (933016204)  00000,1840
0163.01 (933016301)  00000,1160
0163.04 (933016304)  00000,1725
0163.05 (933016305)  00011,1645
0163.06 (933016306)  00001,1235
0163.07 (933016307)  00011,1445
0163.08 (933016308)  00001,1220
0170.03 (933017003)  01001,2235
0170.04 (933017004)  00021,2170
0170.05 (933017005)  00001,1595
0170.06 (933017006)  00001,3080
0180.00 (933018000)  00000,2800
0181.01 (933018101)  00000,3250
0181.03 (933018103)  00000,1900
0181.04 (933018104)  00000,2750
0181.05 (933018105)  00000,3200
0181.06 (933018106)  00000,2075
0181.07 (933018107)  00000,1255
0181.08 (933018108)  00001,925
0181.09 (933018109)  00001,2070
0182.01 (933018201)  00001,950
0182.02 (933018202)  01001,105
0182.03 (933018203)  00001,980
0182.04 (933018204)  00001,420
0182.05 (933018205)  00001,890
0182.06 (933018206)  00011,390
0183.01 (933018301)  00000,1890
0183.03 (933018303)  00000,2215
0183.04 (933018304)  00001,590
0183.05 (933018305)  00001,1675
0183.06 (933018306)  00001,905
0183.07 (933018307)  00001,2045
0184.01 (933018401)  00000,1640
0184.02 (933018402)  00010,2680
0184.05 (933018405)  00000,2170
0184.06 (933018406)  00001,475
0184.07 (933018407)  00001,1755
0184.08 (933018408)  00001,1100
0184.09 (933018409)  00001,1300
0184.10 (933018410)  00001,895
0184.11 (933018411)  00001,1005
0185.05 (933018505)  00000,1580
0185.06 (933018506)  00001,2190
0185.07 (933018507)  00001,1575
0185.08 (933018508)  00001,400
0185.09 (933018509)  00001,1420
