CTname,UniCert
0181.09 (933018109)  00001,225
0182.01 (933018201)  00001,85
0182.02 (933018202)  01001,0
0182.03 (933018203)  00001,130
0182.04 (933018204)  00001,40
0182.05 (933018205)  00001,90
0182.06 (933018206)  00011,70
0183.01 (933018301)  00000,125
0183.03 (933018303)  00000,100
0183.04 (933018304)  00001,15
0183.05 (933018305)  00001,95
0183.06 (933018306)  00001,35
0183.07 (933018307)  00001,125
0184.01 (933018401)  00000,135
0184.02 (933018402)  00010,170
0184.05 (933018405)  00000,165
0184.06 (933018406)  00001,0
0184.07 (933018407)  00001,165
0184.08 (933018408)  00001,55
0184.09 (933018409)  00001,65
0184.10 (933018410)  00001,60
0184.11 (933018411)  00001,75
0185.05 (933018505)  00000,130
0185.06 (933018506)  00001,145
0185.07 (933018507)  00001,170
0185.08 (933018508)  00001,30
0185.09 (933018509)  00001,85
0185.10 (933018510)  00001,70
0185.11 (933018511)  00001,80
0185.12 (933018512)  00001,135
0185.13 (933018513)  01011,115
0185.14 (933018514)  00001,110
0185.15 (933018515)  00001,50
0185.16 (933018516)  01011,65
0186.01 (933018601)  00000,140
0186.02 (933018602)  00000,85
0186.05 (933018605)  00011,95
0186.06 (933018606)  00001,40
0186.07 (933018607)  00001,80
0186.08 (933018608)  00001,80
0187.03 (933018703)  00000,230
0187.04 (933018704)  00001,10
0187.05 (933018705)  00001,90
0187.06 (933018706)  00001,85
0187.07 (933018707)  00001,60
0187.08 (933018708)  00001,180
0187.09 (933018709)  00001,70
0188.01 (933018801)  00001,65
0188.02 (933018802)  00001,35
0188.03 (933018803)  00001,190
0188.04 (933018804)  00001,75
0188.05 (933018805)  00001,90
0188.06 (933018806)  00001,10
0189.03 (933018903)  00000,30
0189.05 (933018905)  00001,210
0189.06 (933018906)  00001,25
0189.07 (933018907)  00001,55
0189.08 (933018908)  00001,160
0189.09 (933018909)  00001,155
0189.10 (933018910)  01001,110
0190.01 (933019001)  00000,150
0190.03 (933019003)  00000,55
0190.04 (933019004)  00001,80
0190.05 (933019005)  00001,0
0191.02 (933019102)  00010,125
0191.03 (933019103)  00001,50
0191.04 (933019104)  01001,105
0192.00 (933019200)  00000,45
0200.00 (933020000)  00000,75
0201.00 (933020100)  00000,45
0202.00 (933020200)  00000,200
0203.00 (933020300)  00000,70
0204.01 (933020401)  00001,195
0204.02 (933020402)  01001,165
0205.00 (933020500)  00000,250
0206.00 (933020600)  01020,30
0207.00 (933020700)  00000,75
0208.00 (933020800)  00000,70
0209.00 (933020900)  00000,155
0210.00 (933021000)  00000,105
0220.00 (933022000)  00000,20
0221.01 (933022101)  00000,35
0221.03 (933022103)  00001,50
0221.04 (933022104)  00001,190
0222.00 (933022200)  00000,300
0223.01 (933022301)  00001,185
0223.02 (933022302)  00011,130
0224.01 (933022401)  00001,170
0224.02 (933022402)  00001,125
0225.00 (933022500)  00000,370
0226.01 (933022601)  00000,485
0226.02 (933022602)  00000,125
0227.01 (933022701)  00001,150
0227.02 (933022702)  00001,230
0228.02 (933022802)  00000,110
0228.03 (933022803)  00001,210
0228.04 (933022804)  00001,180
0229.00 (933022900)  00000,145
0230.01 (933023001)  00000,245
0230.02 (933023002)  00000,105
0231.00 (933023100)  00000,235
0232.00 (933023200)  00000,130
0233.00 (933023300)  00000,185
0234.00 (933023400)  00000,165
0235.02 (933023502)  00000,80
0235.03 (933023503)  00001,130
0235.04 (933023504)  00001,230
0236.00 (933023600)  00000,65
0237.00 (933023700)  00000,210
0238.01 (933023801)  00000,85
0238.02 (933023802)  00000,235
0239.00 (933023900)  00000,190
0240.01 (933024001)  00001,105
0240.02 (933024002)  00001,90
0241.00 (933024100)  00000,190
0242.00 (933024200)  00000,125
0243.01 (933024301)  00000,175
0243.02 (933024302)  01000,250
0250.01 (933025001)  00001,65
0250.02 (933025002)  00001,75
0251.00 (933025100)  00000,0
0260.02 (933026002)  00001,65
0260.04 (933026004)  00001,75
0260.05 (933026005)  00001,120
0260.06 (933026006)  00001,110
0260.07 (933026007)  00001,45
0260.08 (933026008)  00001,155
0280.00 (933028000)  00000,160
0281.01 (933028101)  00000,155
0281.02 (933028102)  00000,100
0282.00 (933028200)  00000,140
0283.00 (933028300)  00000,125
0284.01 (933028401)  00000,240
0284.02 (933028402)  00000,105
0285.01 (933028501)  00000,85
0285.02 (933028502)  00000,100
0286.01 (933028601)  00000,100
0286.02 (933028602)  00000,180
0286.03 (933028603)  00000,95
0287.01 (933028701)  00000,130
0287.02 (933028702)  00000,60
0287.04 (933028704)  00000,300
0287.05 (933028705)  00001,285
0287.06 (933028706)  00001,115
0287.07 (933028707)  00001,485
0290.02 (933029002)  00000,115
0290.03 (933029003)  00000,105
0290.04 (933029004)  00001,170
0290.05 (933029005)  00001,70
0291.01 (933029101)  00000,125
0291.02 (933029102)  00000,100
0292.01 (933029201)  00000,135
0292.02 (933029202)  00000,155
0400.01 (933040001)  00001,185
0400.02 (933040002)  00001,60
0401.01 (933040101)  00001,30
0401.02 (933040102)  00001,135
0402.01 (933040201)  00000,135
0402.02 (933040202)  00000,60
0403.01 (933040301)  00000,90
0403.03 (933040303)  00000,60
0403.04 (933040304)  00001,95
0403.05 (933040305)  00001,85
0404.00 (933040400)  00000,205
0410.02 (933041002)  00000,75
0410.03 (933041003)  00001,135
0410.04 (933041004)  01001,20
0500.00 (933050000)  00000,135
0501.01 (933050101)  00011,45
0501.02 (933050102)  00000,130
0501.03 (933050103)  00000,65
0502.01 (933050201)  00001,40
0502.02 (933050202)  00000,60
0502.03 (933050203)  00000,50
0502.04 (933050204)  00001,310
0502.05 (933050205)  00010,20
0503.01 (933050301)  00001,40
0503.03 (933050303)  00001,155
0503.04 (933050304)  00001,85
0503.05 (933050305)  00001,120
0504.01 (933050401)  00001,205
0504.02 (933050402)  00000,150
0504.03 (933050403)  00000,140
0504.04 (933050404)  00000,250
0505.00 (933050500)  00000,140
0506.01 (933050601)  00000,110
0506.02 (933050602)  00000,125
