CTname,TotFam
0170.05 (933017005)  00001,555
0170.06 (933017006)  00001,2065
0180.00 (933018000)  00000,2460
0181.01 (933018101)  00000,2245
0181.03 (933018103)  00000,1520
0181.04 (933018104)  00000,2240
0181.05 (933018105)  00000,2035
0181.06 (933018106)  00000,1605
0181.07 (933018107)  00000,1075
0181.08 (933018108)  00001,770
0181.09 (933018109)  00001,1785
0182.01 (933018201)  00001,870
0182.02 (933018202)  01001,75
0182.03 (933018203)  00001,960
0182.04 (933018204)  00001,405
0182.05 (933018205)  00001,825
0182.06 (933018206)  00011,345
0183.01 (933018301)  00000,1610
0183.03 (933018303)  00000,1535
0183.04 (933018304)  00001,505
0183.05 (933018305)  00001,1550
0183.06 (933018306)  00001,755
0183.07 (933018307)  00001,1895
0184.01 (933018401)  00000,1420
0184.02 (933018402)  00010,1920
0184.05 (933018405)  00000,2180
0184.06 (933018406)  00001,400
0184.07 (933018407)  00001,1370
0184.08 (933018408)  00001,975
0184.09 (933018409)  00001,1185
0184.10 (933018410)  00001,845
0184.11 (933018411)  00001,950
0185.05 (933018505)  00000,1325
0185.06 (933018506)  00001,2070
0185.07 (933018507)  00001,1565
0185.08 (933018508)  00001,345
0185.09 (933018509)  00001,1160
0185.10 (933018510)  00001,1235
0185.11 (933018511)  00001,1875
0185.12 (933018512)  00001,1630
0185.13 (933018513)  01011,1705
0185.14 (933018514)  00001,1955
0185.15 (933018515)  00001,1420
0185.16 (933018516)  01011,1205
0186.01 (933018601)  00000,1660
0186.02 (933018602)  00000,1350
0186.05 (933018605)  00011,1610
0186.06 (933018606)  00001,950
0186.07 (933018607)  00001,1310
0186.08 (933018608)  00001,1505
0187.03 (933018703)  00000,1815
0187.04 (933018704)  00001,425
0187.05 (933018705)  00001,1650
0187.06 (933018706)  00001,1420
0187.07 (933018707)  00001,420
0187.08 (933018708)  00001,2850
0187.09 (933018709)  00001,2070
0188.01 (933018801)  00001,870
0188.02 (933018802)  00001,280
0188.03 (933018803)  00001,1720
0188.04 (933018804)  00001,750
0188.05 (933018805)  00001,615
0188.06 (933018806)  00001,270
0189.03 (933018903)  00000,950
0189.05 (933018905)  00001,1925
0189.06 (933018906)  00001,795
0189.07 (933018907)  00001,665
0189.08 (933018908)  00001,1700
0189.09 (933018909)  00001,1125
0189.10 (933018910)  01001,1380
0190.01 (933019001)  00000,1540
0190.03 (933019003)  00000,1190
0190.04 (933019004)  00001,1640
0190.05 (933019005)  00001,440
0191.02 (933019102)  00010,1935
0191.03 (933019103)  00001,1240
0191.04 (933019104)  01001,1050
0192.00 (933019200)  00000,1015
0200.00 (933020000)  00000,1245
0201.00 (933020100)  00000,475
0202.00 (933020200)  00000,1735
0203.00 (933020300)  00000,1205
0204.01 (933020401)  00001,1090
0204.02 (933020402)  01001,1190
0205.00 (933020500)  00000,1825
0206.00 (933020600)  01020,395
0207.00 (933020700)  00000,475
0208.00 (933020800)  00000,1330
0209.00 (933020900)  00000,1810
0210.00 (933021000)  00000,1150
0220.00 (933022000)  00000,270
0221.01 (933022101)  00000,485
0221.03 (933022103)  00001,880
0221.04 (933022104)  00001,1265
0222.00 (933022200)  00000,2450
0223.01 (933022301)  00001,1400
0223.02 (933022302)  00011,1175
0224.01 (933022401)  00001,920
0224.02 (933022402)  00001,875
0225.00 (933022500)  00000,2540
0226.01 (933022601)  00000,2195
0226.02 (933022602)  00000,1020
0227.01 (933022701)  00001,1080
0227.02 (933022702)  00001,1280
0228.02 (933022802)  00000,1000
0228.03 (933022803)  00001,1140
0228.04 (933022804)  00001,1230
0229.00 (933022900)  00000,1690
0230.01 (933023001)  00000,1580
0230.02 (933023002)  00000,880
0231.00 (933023100)  00000,1100
0232.00 (933023200)  00000,940
0233.00 (933023300)  00000,1880
0234.00 (933023400)  00000,1785
0235.02 (933023502)  00000,1165
0235.03 (933023503)  00001,655
0235.04 (933023504)  00001,1540
0236.00 (933023600)  00000,1100
0237.00 (933023700)  00000,2075
0238.01 (933023801)  00000,795
0238.02 (933023802)  00000,1905
0239.00 (933023900)  00000,2210
0240.01 (933024001)  00001,985
0240.02 (933024002)  00001,1415
0241.00 (933024100)  00000,1930
0242.00 (933024200)  00000,1875
0243.01 (933024301)  00000,1665
0243.02 (933024302)  01000,1790
0250.01 (933025001)  00001,905
0250.02 (933025002)  00001,1045
0251.00 (933025100)  00000,45
0260.02 (933026002)  00001,1190
0260.04 (933026004)  00001,1100
0260.05 (933026005)  00001,1150
0260.06 (933026006)  00001,1190
0260.07 (933026007)  00001,1115
0260.08 (933026008)  00001,1160
0280.00 (933028000)  00000,970
0281.01 (933028101)  00000,1830
0281.02 (933028102)  00000,1725
0282.00 (933028200)  00000,2135
0283.00 (933028300)  00000,1595
0284.01 (933028401)  00000,1800
0284.02 (933028402)  00000,1680
0285.01 (933028501)  00000,775
0285.02 (933028502)  00000,1515
0286.01 (933028601)  00000,1740
0286.02 (933028602)  00000,1970
0286.03 (933028603)  00000,1195
0287.01 (933028701)  00000,2025
0287.02 (933028702)  00000,1120
0287.04 (933028704)  00000,2370
0287.05 (933028705)  00001,2495
0287.06 (933028706)  00001,1085
